#NSGA2
popsize 50
maxGen 20
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	50
totalTime	3.32169
firstFrontCount	1
frontCount	50
avgEvalTime	0.0650438
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
807.033	656.533	596.467	412.292	332.665	224.798	258.354	727.496	1.55263	619.356	0	0	0	0	0	0	
546.843	517.621	376.223	201	476.468	365.531	676.258	854.552	1.90476	686.804	0	0	0	0	0	0	
845.024	751.338	422.121	269.512	392.129	265.283	355.712	337.926	1.78522	729.076	0	0	0	0	0	0	
963.655	929.645	806.432	241.359	171.962	766.297	613.46	933.821	1.68213	672.264	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	782.333	933.821	1.86306	740.619	0	0	0	0	0	0	
963.655	604.189	806.432	241.359	199.156	766.297	810.113	959.063	1.74642	646.474	0	0	0	0	0	0	
600.378	751.338	422.121	234.876	392.129	361.684	336.941	959.137	1.80747	662.983	0	0	0	0	0	0	
767.943	763.911	617.865	825.732	171.742	212.021	272.099	899.759	1.70114	683.367	0	0	0	0	0	0	
963.655	604.189	806.432	333.015	199.156	766.297	957.473	933.821	1.65577	620.944	0	0	0	0	0	0	
744.192	859.893	801.547	167.181	430.601	488.639	373.345	607.96	1.68545	680.691	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	946.778	1.71834	758.19	0	0	0	0	0	0	
546.843	517.621	96.0143	233.131	476.468	365.531	384.523	739.162	1.87979	798.817	0	0	0	0	0	0	
859.834	517.621	96.0143	233.131	476.468	353.14	384.523	570.705	1.90607	778.548	0	0	0	0	0	0	
296.941	521.873	561.1	240.668	56.91	211.071	275.199	521.666	1.68244	635.082	0	0	0	0	0	0	
894.149	650.202	422.121	234.876	632.493	349.293	417.661	718.122	1.71172	701.092	0	0	0	0	0	0	
787.358	736.39	617.865	825.732	289.721	212.021	272.099	899.759	1.67074	670.701	0	0	0	0	0	0	
296.941	521.873	561.1	275.304	56.91	211.071	275.199	251.236	1.6805	668.409	0	0	0	0	0	0	
744.192	859.893	801.547	145.202	430.601	562.013	373.345	607.96	1.69784	695.279	0	0	0	0	0	0	
963.655	604.189	909.535	241.359	199.156	766.901	826.89	933.821	1.85169	770.921	0	0	0	0	0	0	
963.655	604.189	909.535	241.359	199.156	796.136	826.89	990.511	1.6447	659.023	0	0	0	0	0	0	
